id,value
Comunidades,
Comunidades.comunidad1,
Comunidades.comunidad1.e11,100
Comunidades.comunidad2,
Comunidades.comunidad2.e20,100
Comunidades.comunidad2.e12,100
Comunidades.comunidad3,
Comunidades.comunidad3.e13,100
Comunidades.comunidad4,
Comunidades.comunidad4.e14,100
Comunidades.comunidad5,
Comunidades.comunidad5.e15,100
Comunidades.comunidad6,
Comunidades.comunidad6.e6,100
Comunidades.comunidad7,
Comunidades.comunidad7.e7,100
Comunidades.comunidad8,
Comunidades.comunidad8.e8,100
Comunidades.comunidad9,
Comunidades.comunidad9.e9,100
Comunidades.comunidad10,
Comunidades.comunidad10.e10,100
Comunidades.comunidad11,
Comunidades.comunidad11.e18,100
Comunidades.comunidad11.e24,100
Comunidades.comunidad11.e1,100
Comunidades.comunidad12,
Comunidades.comunidad12.e2,100
Comunidades.comunidad13,
Comunidades.comunidad13.e3,100
Comunidades.comunidad14,
Comunidades.comunidad14.e4,100
Comunidades.comunidad15,
Comunidades.comunidad15.e5,100
Comunidades.comunidad16,
Comunidades.comunidad16.e26,100
Comunidades.comunidad17,
Comunidades.comunidad17.e27,100
Comunidades.comunidad18,
Comunidades.comunidad18.e30,100
Comunidades.comunidad18.e28,100
Comunidades.comunidad19,
Comunidades.comunidad19.e29,100
Comunidades.comunidad20,
Comunidades.comunidad20.e21,100
Comunidades.comunidad21,
Comunidades.comunidad21.e22,100
Comunidades.comunidad22,
Comunidades.comunidad22.e23,100
Comunidades.comunidad23,
Comunidades.comunidad23.e25,100
Comunidades.comunidad24,
Comunidades.comunidad24.e16,100
Comunidades.comunidad25,
Comunidades.comunidad25.e17,100
Comunidades.comunidad26,
Comunidades.comunidad26.e19,100
